family,scope,seed,pdr,n_pairs,mean_rl,mean_pdr,delta,wilcoxon_p,wins,ties,losses,beats
replay-default,seed,301,edd,763,315.675,315.52,0.155,0.047599492476482756,14,745,4,0
replay-default,seed,302,edd,763,315.197,315.52,-0.323,0.040235697793500495,14,745,4,1
replay-default,seed,303,edd,763,316.015,315.52,0.495,0.13493594518100172,12,746,5,0
replay-default,pooled3seeds,pooled,edd,2289,,,0.109,0.001466132465934148,40,2236,13,0
replay-default,seed,301,wspt,763,315.675,317.538,-1.863,5.705111337350957e-14,90,669,4,1
replay-default,seed,302,wspt,763,315.197,317.538,-2.341,4.245988025555986e-15,91,669,3,1
replay-default,seed,303,wspt,763,316.015,317.538,-1.523,5.625926983946794e-14,90,669,4,1
replay-default,pooled3seeds,pooled,wspt,2289,,,-1.909,1.0687132076871895e-39,271,2007,11,1
replay-default,seed,301,atc,763,315.675,316.257,-0.582,0.0028868800950297693,23,734,6,1
replay-default,seed,302,atc,763,315.197,316.257,-1.06,0.00033424657644246934,24,734,5,1
replay-default,seed,303,atc,763,316.015,316.257,-0.242,0.0046698135888695895,22,735,6,1
replay-default,pooled3seeds,pooled,atc,2289,,,-0.628,5.880566540115821e-08,69,2203,17,1
replay-default,seed,301,pfifo,763,315.675,315.52,0.155,0.047599492476482756,14,745,4,0
replay-default,seed,302,pfifo,763,315.197,315.52,-0.323,0.040235697793500495,14,745,4,1
replay-default,seed,303,pfifo,763,316.015,315.52,0.495,0.13493594518100172,12,746,5,0
replay-default,pooled3seeds,pooled,pfifo,2289,,,0.109,0.001466132465934148,40,2236,13,0
replay-default,seed,301,mor,763,315.675,321.501,-5.826,5.377595433196692e-07,30,733,0,1
replay-default,seed,302,mor,763,315.197,321.501,-6.304,3.9888898475271685e-07,30,733,0,1
replay-default,seed,303,mor,763,316.015,321.501,-5.486,2.008988451230591e-06,30,730,3,1
replay-default,pooled3seeds,pooled,mor,2289,,,-5.872,1.1867969174048415e-17,90,2196,3,1
replay-default,seed,301,random,763,315.675,318.789,-3.115,1.5804025298625569e-12,71,691,1,1
replay-default,seed,302,random,763,315.197,318.789,-3.592,5.483755858569498e-13,71,691,1,1
replay-default,seed,303,random,763,316.015,318.789,-2.774,1.5804025298625569e-12,71,691,1,1
replay-default,pooled3seeds,pooled,random,2289,,,-3.16,9.479712946152482e-35,213,2073,3,1
replay-tight-m0.8,seed,301,edd,763,322.156,318.452,3.704,0.009219317905702155,31,720,12,0
replay-tight-m0.8,seed,302,edd,763,318.759,318.452,0.307,0.002603919440591175,33,720,10,0
replay-tight-m0.8,seed,303,edd,763,322.495,318.452,4.043,0.015812916577909654,33,720,10,0
replay-tight-m0.8,pooled3seeds,pooled,edd,2289,,,2.685,4.0519216694946705e-06,97,2160,32,0
replay-tight-m0.8,seed,301,wspt,763,322.156,321.696,0.46,2.1917682672506336e-17,128,625,10,0
replay-tight-m0.8,seed,302,wspt,763,318.759,321.696,-2.936,2.2683066413930545e-19,129,626,8,1
replay-tight-m0.8,seed,303,wspt,763,322.495,321.696,0.8,2.8131044806787303e-17,127,626,10,0
replay-tight-m0.8,pooled3seeds,pooled,wspt,2289,,,-0.559,1.4753687877309524e-50,384,1877,28,1
replay-tight-m0.8,seed,301,atc,763,322.156,318.951,3.204,0.00023328640980400735,45,703,15,0
replay-tight-m0.8,seed,302,atc,763,318.759,318.951,-0.192,1.9838001999682597e-05,45,705,13,1
replay-tight-m0.8,seed,303,atc,763,322.495,318.951,3.544,0.00019411312526570928,45,705,13,0
replay-tight-m0.8,pooled3seeds,pooled,atc,2289,,,2.186,1.825344816032021e-11,135,2113,41,0
replay-tight-m0.8,seed,301,pfifo,763,322.156,318.452,3.704,0.009219317905702155,31,720,12,0
replay-tight-m0.8,seed,302,pfifo,763,318.759,318.452,0.307,0.002603919440591175,33,720,10,0
replay-tight-m0.8,seed,303,pfifo,763,322.495,318.452,4.043,0.015812916577909654,33,720,10,0
replay-tight-m0.8,pooled3seeds,pooled,pfifo,2289,,,2.685,4.0519216694946705e-06,97,2160,32,0
replay-tight-m0.8,seed,301,mor,763,322.156,336.35,-14.194,7.539482216977846e-13,65,696,2,1
replay-tight-m0.8,seed,302,mor,763,318.759,336.35,-17.591,2.2626837966345598e-13,67,695,1,1
replay-tight-m0.8,seed,303,mor,763,322.495,336.35,-13.855,2.4041699665521416e-11,65,692,6,1
replay-tight-m0.8,pooled3seeds,pooled,mor,2289,,,-15.213,2.6117697868744914e-34,197,2083,9,1
replay-tight-m0.8,seed,301,random,763,322.156,326.098,-3.943,2.2594759283981866e-20,121,638,4,1
replay-tight-m0.8,seed,302,random,763,318.759,326.098,-7.339,6.101679712550292e-21,122,638,3,1
replay-tight-m0.8,seed,303,random,763,322.495,326.098,-3.603,2.820951063164162e-20,121,638,4,1
replay-tight-m0.8,pooled3seeds,pooled,random,2289,,,-4.962,3.9358579056217036e-58,364,1914,11,1
replay-tight-m0.6,seed,301,edd,763,343.397,331.317,12.081,0.06136774298258878,70,645,48,0
replay-tight-m0.6,seed,302,edd,763,333.188,331.317,1.871,2.46584906053412e-05,78,655,30,0
replay-tight-m0.6,seed,303,edd,763,343.128,331.317,11.811,0.33077171260157134,69,647,47,0
replay-tight-m0.6,pooled3seeds,pooled,edd,2289,,,8.588,5.5866727619798916e-05,217,1947,125,0
replay-tight-m0.6,seed,301,wspt,763,343.397,335.539,7.858,3.7054624531347254e-22,205,529,29,0
replay-tight-m0.6,seed,302,wspt,763,333.188,335.539,-2.351,2.275801950354584e-24,206,531,26,1
replay-tight-m0.6,seed,303,wspt,763,343.128,335.539,7.589,6.614094851864713e-19,200,527,36,0
replay-tight-m0.6,pooled3seeds,pooled,wspt,2289,,,4.365,9.382126508857902e-62,611,1587,91,0
replay-tight-m0.6,seed,301,atc,763,343.397,328.995,14.403,7.628863125026724e-05,94,626,43,0
replay-tight-m0.6,seed,302,atc,763,333.188,328.995,4.193,3.841636669220526e-06,98,627,38,0
replay-tight-m0.6,seed,303,atc,763,343.128,328.995,14.133,0.0009754583415921042,98,618,47,0
replay-tight-m0.6,pooled3seeds,pooled,atc,2289,,,10.91,8.3907196507918e-12,290,1871,128,0
replay-tight-m0.6,seed,301,pfifo,763,343.397,331.317,12.081,0.06136774298258878,70,645,48,0
replay-tight-m0.6,seed,302,pfifo,763,333.188,331.317,1.871,2.46584906053412e-05,78,655,30,0
replay-tight-m0.6,seed,303,pfifo,763,343.128,331.317,11.811,0.33077171260157134,69,647,47,0
replay-tight-m0.6,pooled3seeds,pooled,pfifo,2289,,,8.588,5.5866727619798916e-05,217,1947,125,0
replay-tight-m0.6,seed,301,mor,763,343.397,414.281,-70.883,2.0303623303202134e-30,169,592,2,1
replay-tight-m0.6,seed,302,mor,763,333.188,414.281,-81.093,5.045791798115797e-31,171,591,1,1
replay-tight-m0.6,seed,303,mor,763,343.128,414.281,-71.153,2.8995674101991156e-29,162,593,8,1
replay-tight-m0.6,pooled3seeds,pooled,mor,2289,,,-74.376,3.392958368495152e-87,502,1776,11,1
replay-tight-m0.6,seed,301,random,763,343.397,356.177,-12.779,2.4402145828052366e-29,213,533,17,1
replay-tight-m0.6,seed,302,random,763,333.188,356.177,-22.989,2.725889314588763e-34,216,538,9,1
replay-tight-m0.6,seed,303,random,763,343.128,356.177,-13.049,1.0154162551110158e-27,207,535,21,1
replay-tight-m0.6,pooled3seeds,pooled,random,2289,,,-16.272,1.783899052419213e-87,636,1606,47,1
storm,seed,301,edd,1920,300.683,300.774,-0.092,0.005437343467008792,36,1871,13,1
storm,seed,302,edd,1920,300.669,300.774,-0.106,7.28990607717752e-05,33,1880,7,1
storm,seed,303,edd,1920,300.758,300.774,-0.016,0.24477543370760457,21,1884,15,0
storm,pooled3seeds,pooled,edd,5760,,,-0.071,4.2205125196626185e-06,90,5635,35,1
storm,seed,301,wspt,1920,300.683,301.767,-1.084,3.756535439653125e-16,91,1821,8,1
storm,seed,302,wspt,1920,300.669,301.767,-1.098,7.807239758354614e-17,91,1824,5,1
storm,seed,303,wspt,1920,300.758,301.767,-1.009,8.161525326400742e-17,90,1826,4,1
storm,pooled3seeds,pooled,wspt,5760,,,-1.064,1.8517467624525117e-46,272,5471,17,1
storm,seed,301,atc,1920,300.683,300.963,-0.281,8.413918041029754e-07,56,1850,14,1
storm,seed,302,atc,1920,300.669,300.963,-0.294,1.0542238379571009e-07,53,1855,12,1
storm,seed,303,atc,1920,300.758,300.963,-0.205,1.365750868840118e-06,47,1861,12,1
storm,pooled3seeds,pooled,atc,5760,,,-0.26,3.751217051647244e-18,156,5566,38,1
storm,seed,301,pfifo,1920,300.683,300.774,-0.092,0.005437343467008792,36,1871,13,1
storm,seed,302,pfifo,1920,300.669,300.774,-0.106,7.28990607717752e-05,33,1880,7,1
storm,seed,303,pfifo,1920,300.758,300.774,-0.016,0.24477543370760457,21,1884,15,0
storm,pooled3seeds,pooled,pfifo,5760,,,-0.071,4.2205125196626185e-06,90,5635,35,1
storm,seed,301,mor,1920,300.683,303.186,-2.504,1.3743960333312836e-14,75,1841,4,1
storm,seed,302,mor,1920,300.669,303.186,-2.518,2.039614894982289e-15,76,1843,1,1
storm,seed,303,mor,1920,300.758,303.186,-2.428,4.098870713331895e-14,74,1840,6,1
storm,pooled3seeds,pooled,mor,5760,,,-2.483,6.494200208348796e-41,225,5524,11,1
storm,seed,301,random,1920,300.683,302.86,-2.177,1.1711805117589067e-18,97,1821,2,1
storm,seed,302,random,1920,300.669,302.86,-2.191,1.887279708681871e-18,96,1822,2,1
storm,seed,303,random,1920,300.758,302.86,-2.102,3.6075982493085184e-18,93,1825,2,1
storm,pooled3seeds,pooled,random,5760,,,-2.157,7.001856350001205e-52,286,5468,6,1
POOLED-contended(tight+storm),seed,301,edd,3446,314.895,311.451,3.444,6.877002438302847e-05,137,3236,73,0
POOLED-contended(tight+storm),seed,302,edd,3446,311.875,311.451,0.424,1.3348342407725497e-10,144,3255,47,0
POOLED-contended(tight+storm),seed,303,edd,3446,314.953,311.451,3.501,0.0052759252191766914,123,3251,72,0
POOLED-contended(tight+storm),pooled3seeds,pooled,edd,10338,,,2.456,3.188908306555614e-14,404,9742,192,0
POOLED-contended(tight+storm),seed,301,wspt,3446,314.895,313.657,1.238,8.833012884220848e-52,424,2975,47,0
POOLED-contended(tight+storm),seed,302,wspt,3446,311.875,313.657,-1.783,2.222122203236131e-56,426,2981,39,1
POOLED-contended(tight+storm),seed,303,wspt,3446,314.953,313.657,1.295,7.143698003272779e-48,417,2979,50,0
POOLED-contended(tight+storm),pooled3seeds,pooled,wspt,10338,,,0.25,5.862984536218305e-152,1267,8935,136,0
POOLED-contended(tight+storm),seed,301,atc,3446,314.895,311.153,3.742,2.0683406675918185e-12,195,3179,72,0
POOLED-contended(tight+storm),seed,302,atc,3446,311.875,311.153,0.722,1.891263653512431e-15,196,3187,63,0
POOLED-contended(tight+storm),seed,303,atc,3446,314.953,311.153,3.8,1.0014977925253392e-10,190,3184,72,0
POOLED-contended(tight+storm),pooled3seeds,pooled,atc,10338,,,2.755,4.0684692356645606e-35,581,9550,207,0
POOLED-contended(tight+storm),seed,301,pfifo,3446,314.895,311.451,3.444,6.877002438302847e-05,137,3236,73,0
POOLED-contended(tight+storm),seed,302,pfifo,3446,311.875,311.451,0.424,1.3348342407725497e-10,144,3255,47,0
POOLED-contended(tight+storm),seed,303,pfifo,3446,314.953,311.451,3.501,0.0052759252191766914,123,3251,72,0
POOLED-contended(tight+storm),pooled3seeds,pooled,pfifo,10338,,,2.456,3.188908306555614e-14,404,9742,192,0
POOLED-contended(tight+storm),seed,301,mor,3446,314.895,335.127,-20.233,8.94021363915523e-55,309,3129,8,1
POOLED-contended(tight+storm),seed,302,mor,3446,311.875,335.127,-23.253,1.3170658703122039e-56,314,3129,3,1
POOLED-contended(tight+storm),seed,303,mor,3446,314.953,335.127,-20.175,1.328881054998392e-51,301,3125,20,1
POOLED-contended(tight+storm),pooled3seeds,pooled,mor,10338,,,-21.22,2.7927054698418893e-159,924,9383,31,1
POOLED-contended(tight+storm),seed,301,random,3446,314.895,319.81,-4.916,2.9364540840504098e-64,431,2992,23,1
POOLED-contended(tight+storm),seed,302,random,3446,311.875,319.81,-7.936,6.351973157034542e-70,434,2998,14,1
POOLED-contended(tight+storm),seed,303,random,3446,314.953,319.81,-4.858,1.081569799055861e-61,421,2998,27,1
POOLED-contended(tight+storm),pooled3seeds,pooled,random,10338,,,-5.903,9.967494697267961e-192,1286,8988,64,1
